"kabupaten_kota";"jumlah_pergerakan_wisatawan_nusantara";"jumlah_pergerakan_wisatawan_mancanegara";"periode_update"
"Kota Pasuruan";"23745";"1";"September 2018"
"Kota Probolinggo";"68450";"117";"September 2018"
"Kota Surabaya";"850144";"7970";"September 2018"
"Bangkalan";"127172";"19";"Oktober 2018"
"Banyuwangi";"369761";"16610";"Oktober 2018"
"Blitar";"158764";"15";"Oktober 2018"
"Bojonegoro";"32972";"0";"Oktober 2018"
"Bondowoso";"33252";"4720";"Oktober 2018"
"Gresik";"325581";"6503";"Oktober 2018"
"Jember";"61758";"60";"Oktober 2018"
"Jombang";"143583";"0";"Oktober 2018"
"Kediri";"176703";"53";"Oktober 2018"
"Lamongan";"205551";"8";"Oktober 2018"
"Lumajang";"88865";"668";"Oktober 2018"
"Madiun";"34585";"0";"Oktober 2018"
"Magetan";"74551";"0";"Oktober 2018"
"Malang";"127511";"217";"Oktober 2018"
"Mojokerto";"149515";"75";"Oktober 2018"
"Nganjuk";"33582";"0";"Oktober 2018"
"Ngawi";"38175";"7";"Oktober 2018"
"Pacitan";"118034";"102";"Oktober 2018"
"Pamekasan";"22254";"0";"Oktober 2018"
"Pasuruan";"230867";"1583";"Oktober 2018"
"Ponorogo";"37930";"0";"Oktober 2018"
"Probolinggo";"56038";"4576";"Oktober 2018"
"Sampang";"37075";"0";"Oktober 2018"
"Sidoarjo";"112163";"496";"Oktober 2018"
"Situbondo";"33102";"89";"Oktober 2018"
"Sumenep";"146416";"283";"Oktober 2018"
"Trenggalek";"24944";"0";"Oktober 2018"
"Tuban";"512002";"34";"Oktober 2018"
"Tulungagung";"77596";"0";"Oktober 2018"
"Kota Batu";"365485";"869";"Oktober 2018"
"Kota Blitar";"190441";"76";"Oktober 2018"
"Kota Kediri";"11149";"0";"Oktober 2018"
"Kota Madiun";"8611";"0";"Oktober 2018"
"Kota Malang";"197744";"10167";"Oktober 2018"
"Kota Mojokerto";"22769";"0";"Oktober 2018"
"Kota Pasuruan";"23520";"2";"Oktober 2018"
"Kota Probolinggo";"43038";"46";"Oktober 2018"
"Kota Surabaya";"906798";"4449";"Oktober 2018"
"Bangkalan";"112906";"29";"November 2018"
"Banyuwangi";"307011";"13919";"November 2018"
"Blitar";"178286";"44";"November 2018"
"Bojonegoro";"26833";"12";"November 2018"
"Bondowoso";"32979";"4273";"November 2018"
"Gresik";"290953";"10722";"November 2018"
"Jember";"75974";"40";"November 2018"
"Jombang";"126352";"0";"November 2018"
"Kediri";"202832";"40";"November 2018"
"Lamongan";"208838";"7";"November 2018"
"Lumajang";"107401";"417";"November 2018"
"Madiun";"35895";"0";"November 2018"
