"kabupaten_kota";"jumlah_pergerakan_wisatawan_nusantara";"jumlah_pergerakan_wisatawan_mancanegara";"periode_update"
"Lumajang";"  30,643 ";"662";"November 2022"
"Madiun";"  27,208 ";"6";"November 2022"
"Magetan";"  81,266 ";"0";"November 2022"
"Malang";"  125,684 ";"116";"November 2022"
"Mojokerto";"  98,599 ";"0";"November 2022"
"Nganjuk";"  12,791 ";"0";"November 2022"
"Ngawi";"  34,153 ";"0";"November 2022"
"Pacitan";"  62,096 ";"0";"November 2022"
"Pamekasan";"  9,952 ";"0";"November 2022"
"Pasuruan";"  146,556 ";"860";"November 2022"
"Ponorogo";"  18,936 ";"0";"November 2022"
"Probolinggo";"  99,753 ";"2494";"November 2022"
"Sampang";"  19,659 ";"4";"November 2022"
"Sidoarjo";"  41,395 ";"0";"November 2022"
"Situbondo";"  71,950 ";"105";"November 2022"
"Sumenep";"  74,564 ";"1";"November 2022"
"Trenggalek";"  9,382 ";"0";"November 2022"
"Tuban";"  407,996 ";"4";"November 2022"
"Tulungagung";"  96,807 ";"0";"November 2022"
"Kota Batu";"  376,045 ";"38";"November 2022"
"Kota Blitar";"  169,979 ";"0";"November 2022"
"Kota Kediri";"  6,768 ";"0";"November 2022"
"Kota Madiun";"  55,022 ";"0";"November 2022"
"Kota Malang";"  248,061 ";"1225";"November 2022"
"Kota Mojokerto";"  158,509 ";"0";"November 2022"
"Kota Pasuruan";"  77,888 ";"10";"November 2022"
"Kota Probolinggo";"  59,302 ";"52";"November 2022"
"Kota Surabaya";"  344,744 ";"1564";"November 2022"
"Bangkalan";"292535";"0";"Desember 2022"
"Banyuwangi";"314777";"951";"Desember 2022"
"Blitar";"263515";"14";"Desember 2022"
"Bojonegoro";"81657";"0";"Desember 2022"
"Bondowoso";"42708";"2687";"Desember 2022"
"Gresik";"386306";"7029";"Desember 2022"
"Jember";"42612";"1";"Desember 2022"
"Jombang";"149268";"0";"Desember 2022"
"Kediri";"228584";"14";"Desember 2022"
"Lamongan";"450871";"8";"Desember 2022"
"Lumajang";"68458";"679";"Desember 2022"
"Madiun";"40395";"0";"Desember 2022"
"Magetan";"133613";"0";"Desember 2022"
"Malang";"158508";"99";"Desember 2022"
"Mojokerto";"134462";"0";"Desember 2022"
"Nganjuk";"14663";"0";"Desember 2022"
"Ngawi";"67911";"0";"Desember 2022"
"Pacitan";"110436";"4";"Desember 2022"
"Pamekasan";"14203";"0";"Desember 2022"
"Pasuruan";"252828";"831";"Desember 2022"
"Ponorogo";"33608";"0";"Desember 2022"
"Probolinggo";"178722";"2168";"Desember 2022"
"Sampang";"16447";"7";"Desember 2022"
"Sidoarjo";"41615";"0";"Desember 2022"
"Situbondo";"71817";"57";"Desember 2022"
"Sumenep";"104094";"3";"Desember 2022"
"Trenggalek";"29555";"0";"Desember 2022"
"Tuban";"565150";"2";"Desember 2022"
"Tulungagung";"161812";"0";"Desember 2022"
"Kota Batu";"840917";"0";"Desember 2022"
"Kota Blitar";"143788";"29";"Desember 2022"
"Kota Kediri";"8260";"0";"Desember 2022"
"Kota Madiun";"59800";"0";"Desember 2022"
"Kota Malang";"294832";"728";"Desember 2022"
"Kota Mojokerto";"220355";"0";"Desember 2022"
"Kota Pasuruan";"89951";"27";"Desember 2022"
"Kota Probolinggo";"85318";"3";"Desember 2022"
"Kota Surabaya";"512253";"1835";"Desember 2022"
"Bangkalan";"68540";"0";"Januari 2021"
"Banyuwangi";"110689";"19";"Januari 2021"
"Blitar";"115045";"0";"Januari 2021"
"Bojonegoro";"0";"0";"Januari 2021"
"Bondowoso";"22105";"0";"Januari 2021"
"Gresik";"173622";"0";"Januari 2021"
"Jember";"44079";"0";"Januari 2021"
"Jombang";"33815";"0";"Januari 2021"
"Kediri";"0";"0";"Januari 2021"
"Lamongan";"152816";"0";"Januari 2021"
"Lumajang";"77622";"0";"Januari 2021"
"Madiun";"2716";"0";"Januari 2021"
"Magetan";"90851";"0";"Januari 2021"
"Malang";"180906";"6";"Januari 2021"
"Mojokerto";"52596";"0";"Januari 2021"
"Nganjuk";"6808";"0";"Januari 2021"
"Ngawi";"0";"0";"Januari 2021"
"Pacitan";"131332";"0";"Januari 2021"
"Pamekasan";"42554";"0";"Januari 2021"
"Pasuruan";"170646";"345";"Januari 2021"
"Ponorogo";"23580";"0";"Januari 2021"
"Probolinggo";"63800";"2";"Januari 2021"
"Sampang";"11630";"1";"Januari 2021"
"Sidoarjo";"17742";"0";"Januari 2021"
"Situbondo";"53780";"2";"Januari 2021"
"Sumenep";"36918";"0";"Januari 2021"
"Trenggalek";"18634";"0";"Januari 2021"
"Tuban";"231315";"0";"Januari 2021"
"Tulungagung";"0";"0";"Januari 2021"
"Kota Batu";"113876";"0";"Januari 2021"
"Kota Blitar";"7020";"0";"Januari 2021"
"Kota Kediri";"0";"0";"Januari 2021"
"Kota Madiun";"45379";"0";"Januari 2021"
"Kota Malang";"66023";"0";"Januari 2021"
"Kota Mojokerto";"340816";"0";"Januari 2021"
"Kota Pasuruan";"19119";"0";"Januari 2021"
"Kota Probolinggo";"44209";"0";"Januari 2021"
"Kota Surabaya";"207710";"319";"Januari 2021"
"Bangkalan";"60856";"0";"Februari 2021"
"Banyuwangi";"85910";"2";"Februari 2021"
"Blitar";"164540";"3";"Februari 2021"
"Bojonegoro";"0";"0";"Februari 2021"
"Bondowoso";"21924";"0";"Februari 2021"
"Gresik";"108227";"0";"Februari 2021"
"Jember";"24934";"0";"Februari 2021"
"Jombang";"23700";"0";"Februari 2021"
"Kediri";"0";"0";"Februari 2021"
"Lamongan";"166191";"0";"Februari 2021"
"Lumajang";"41074";"0";"Februari 2021"
"Madiun";"1823";"0";"Februari 2021"
"Magetan";"57229";"0";"Februari 2021"
"Malang";"140581";"14";"Februari 2021"
"Mojokerto";"42336";"0";"Februari 2021"
"Nganjuk";"7231";"0";"Februari 2021"
"Ngawi";"0";"0";"Februari 2021"
"Pacitan";"70621";"0";"Februari 2021"
"Pamekasan";"36695";"0";"Februari 2021"
"Pasuruan";"116269";"307";"Februari 2021"
"Ponorogo";"3200";"0";"Februari 2021"
"Probolinggo";"39325";"0";"Februari 2021"
"Sampang";"7763";"0";"Februari 2021"
"Sidoarjo";"13176";"0";"Februari 2021"
"Situbondo";"41557";"5";"Februari 2021"
"Sumenep";"40848";"0";"Februari 2021"
"Trenggalek";"0";"0";"Februari 2021"
"Tuban";"234454";"0";"Februari 2021"
"Tulungagung";"0";"0";"Februari 2021"
"Kota Batu";"97626";"0";"Februari 2021"
"Kota Blitar";"12350";"0";"Februari 2021"
"Kota Kediri";"0";"0";"Februari 2021"
"Kota Madiun";"41574";"0";"Februari 2021"
"Kota Malang";"52794";"0";"Februari 2021"
"Kota Mojokerto";"313333";"0";"Februari 2021"
"Kota Pasuruan";"19586";"0";"Februari 2021"
"Kota Probolinggo";"54190";"0";"Februari 2021"
"Kota Surabaya";"266033";"344";"Februari 2021"
"Bangkalan";"61619";"0";"Maret 2021"
"Banyuwangi";"118373";"13";"Maret 2021"
"Blitar";"207140";"0";"Maret 2021"
"Bojonegoro";"21157";"0";"Maret 2021"
"Bondowoso";"26481";"0";"Maret 2021"
"Gresik";"181746";"0";"Maret 2021"
"Jember";"25949";"0";"Maret 2021"
"Jombang";"14513";"0";"Maret 2021"
"Kediri";"0";"0";"Maret 2021"
"Lamongan";"200978";"9";"Maret 2021"
"Lumajang";"48539";"0";"Maret 2021"
"Madiun";"22420";"0";"Maret 2021"
"Magetan";"97632";"0";"Maret 2021"
"Malang";"200810";"63";"Maret 2021"
"Mojokerto";"52204";"0";"Maret 2021"
"Nganjuk";"10737";"0";"Maret 2021"
"Ngawi";"20812";"0";"Maret 2021"
"Pacitan";"101716";"37";"Maret 2021"
"Pamekasan";"81543";"0";"Maret 2021"
"Pasuruan";"132712";"329";"Maret 2021"
"Ponorogo";"32972";"0";"Maret 2021"
"Probolinggo";"48949";"46";"Maret 2021"
"Sampang";"6475";"0";"Maret 2021"
"Sidoarjo";"15024";"0";"Maret 2021"
"Situbondo";"43769";"4";"Maret 2021"
"Sumenep";"35583";"0";"Maret 2021"
"Trenggalek";"259371";"383";"Maret 2021"
"Tuban";"23019";"0";"Maret 2021"
"Tulungagung";"394522";"1";"Maret 2021"
"Kota Batu";"57950";"0";"Maret 2021"
"Kota Blitar";"22105";"2";"Maret 2021"
"Kota Kediri";"0";"0";"Maret 2021"
"Kota Madiun";"20401";"2";"Maret 2021"
"Kota Malang";"200810";"63";"Maret 2021"
"Kota Mojokerto";"455401";"0";"Maret 2021"
"Kota Pasuruan";"30539";"1";"Maret 2021"
"Kota Probolinggo";"67406";"0";"Maret 2021"
"Kota Surabaya";"259371";"383";"Maret 2021"
"Bangkalan";"4099";"0";"April 2021"
"Banyuwangi";"95474";"113";"April 2021"
"Blitar";"167262";"0";"April 2021"
"Bojonegoro";"17705";"0";"April 2021"
"Bondowoso";"12524";"0";"April 2021"
"Gresik";"129894";"0";"April 2021"
"Jember";"20541";"0";"April 2021"
"Jombang";"11000";"0";"April 2021"
"Kediri";"7070";"0";"April 2021"
"Lamongan";"160623";"0";"April 2021"
"Lumajang";"17079";"0";"April 2021"
"Madiun";"3180";"0";"April 2021"
"Magetan";"82394";"0";"April 2021"
"Malang";"144187";"14";"April 2021"
"Mojokerto";"37203";"0";"April 2021"
"Nganjuk";"12184";"0";"April 2021"
"Ngawi";"13165";"0";"April 2021"
"Pacitan";"86655";"57";"April 2021"
"Pamekasan";"21193";"0";"April 2021"
"Pasuruan";"101148";"98";"April 2021"
"Ponorogo";"31418";"0";"April 2021"
"Probolinggo";"37458";"48";"April 2021"
"Sampang";"11191";"0";"April 2021"
"Sidoarjo";"7744";"0";"April 2021"
"Situbondo";"40100";"16";"April 2021"
"Sumenep";"33662";"0";"April 2021"
"Trenggalek";"25846";"0";"April 2021"
"Tuban";"290513";"3";"April 2021"
"Tulungagung";"29096";"0";"April 2021"
"Kota Batu";"318991";"0";"April 2021"
"Kota Blitar";"17786";"0";"April 2021"
"Kota Kediri";"0";"0";"April 2021"
"Kota Madiun";"5174";"1";"April 2021"
"Kota Malang";"24959";"0";"April 2021"
"Kota Mojokerto";"371523";"0";"April 2021"
"Kota Pasuruan";"19915";"0";"April 2021"
"Kota Probolinggo";"54907";"0";"April 2021"
"Kota Surabaya";"278768";"346";"April 2021"
"Bangkalan";"21071";"0";"Mei 2021"
"Banyuwangi";"270285";"186";"Mei 2021"
"Blitar";"178323";"0";"Mei 2021"
"Bojonegoro";"30647";"0";"Mei 2021"
"Bondowoso";"5782";"0";"Mei 2021"
"Gresik";"202237";"0";"Mei 2021"
"Jember";"45973";"0";"Mei 2021"
"Jombang";"56581";"0";"Mei 2021"
"Kediri";"38060";"0";"Mei 2021"
"Lamongan";"157842";"0";"Mei 2021"
"Lumajang";"38146";"0";"Mei 2021"
"Madiun";"4337";"0";"Mei 2021"
"Magetan";"161429";"0";"Mei 2021"
"Malang";"289862";"5";"Mei 2021"
"Mojokerto";"77209";"0";"Mei 2021"
"Nganjuk";"16154";"0";"Mei 2021"
"Ngawi";"61595";"0";"Mei 2021"
"Pacitan";"145380";"58";"Mei 2021"
"Pamekasan";"52863";"0";"Mei 2021"
"Pasuruan";"133780";"291";"Mei 2021"
"Ponorogo";"47696";"0";"Mei 2021"
"Probolinggo";"31879";"29";"Mei 2021"
"Sampang";"22170";"0";"Mei 2021"
"Sidoarjo";"12824";"0";"Mei 2021"
"Situbondo";"34010";"3";"Mei 2021"
"Sumenep";"32779";"0";"Mei 2021"
"Trenggalek";"15310";"0";"Mei 2021"
"Tuban";"350832";"3";"Mei 2021"
"Tulungagung";"107513";"0";"Mei 2021"
"Kota Batu";"530307";"0";"Mei 2021"
"Kota Blitar";"23060";"0";"Mei 2021"
"Kota Kediri";"0";"0";"Mei 2021"
"Kota Madiun";"6016";"0";"Mei 2021"
"Kota Malang";"36825";"0";"Mei 2021"
"Kota Mojokerto";"418999";"0";"Mei 2021"
"Kota Pasuruan";"8955";"0";"Mei 2021"
"Kota Probolinggo";"66715";"0";"Mei 2021"
"Kota Surabaya";"157560";"856";"Mei 2021"
"Bangkalan";"443";"0";"Juni 2021"
"Banyuwangi";"138845";"474";"Juni 2021"
"Blitar";"217357";"0";"Juni 2021"
"Bojonegoro";"29511";"0";"Juni 2021"
"Bondowoso";"19391";"0";"Juni 2021"
"Gresik";"225485";"0";"Juni 2021"
"Jember";"34434";"0";"Juni 2021"
"Jombang";"3597";"0";"Juni 2021"
"Kediri";"73207";"0";"Juni 2021"
"Lamongan";"127520";"11";"Juni 2021"
"Lumajang";"113866";"0";"Juni 2021"
"Madiun";"8658";"0";"Juni 2021"
"Magetan";"161283";"0";"Juni 2021"
"Malang";"235971";"7";"Juni 2021"
"Mojokerto";"100077";"0";"Juni 2021"
"Nganjuk";"27333";"0";"Juni 2021"
"Ngawi";"40986";"0";"Juni 2021"
"Pacitan";"119093";"38";"Juni 2021"
"Pamekasan";"7817";"0";"Juni 2021"
"Pasuruan";"114651";"325";"Juni 2021"
"Ponorogo";"22892";"0";"Juni 2021"
"Probolinggo";"41425";"27";"Juni 2021"
"Sampang";"7409";"0";"Juni 2021"
"Sidoarjo";"13114";"0";"Juni 2021"
"Situbondo";"45296";"0";"Juni 2021"
"Sumenep";"24325";"0";"Juni 2021"
"Trenggalek";"27287";"0";"Juni 2021"
"Tuban";"303881";"0";"Juni 2021"
"Tulungagung";"111562";"0";"Juni 2021"
"Kota Batu";"652629";"0";"Juni 2021"
"Kota Blitar";"25560";"6";"Juni 2021"
"Kota Kediri";"0";"0";"Juni 2021"
"Kota Madiun";"15482";"0";"Juni 2021"
"Kota Malang";"64614";"0";"Juni 2021"
"Kota Mojokerto";"151469";"0";"Juni 2021"
"Kota Pasuruan";"19062";"0";"Juni 2021"
"Kota Probolinggo";"19526";"0";"Juni 2021"
"Kota Surabaya";"255554";"405";"Juni 2021"
"Bangkalan";"0";"0";"Juli 2021"
"Banyuwangi";"0";"0";"Juli 2021"
"Blitar";"22660";"0";"Juli 2021"
"Bojonegoro";"17565";"0";"Juli 2021"
"Bondowoso";"0";"0";"Juli 2021"
"Gresik";"856";"0";"Juli 2021"
"Jember";"2648";"0";"Juli 2021"
"Jombang";"0";"0";"Juli 2021"
"Kediri";"0";"0";"Juli 2021"
"Lamongan";"479";"0";"Juli 2021"
"Lumajang";"0";"0";"Juli 2021"
"Madiun";"75";"0";"Juli 2021"
"Magetan";"5682";"0";"Juli 2021"
"Malang";"0";"0";"Juli 2021"
"Mojokerto";"3100";"0";"Juli 2021"
"Nganjuk";"5791";"0";"Juli 2021"
"Ngawi";"0";"0";"Juli 2021"
"Pacitan";"2261";"25";"Juli 2021"
"Pamekasan";"0";"0";"Juli 2021"
"Pasuruan";"9269";"57";"Juli 2021"
"Ponorogo";"0";"0";"Juli 2021"
"Probolinggo";"2858";"0";"Juli 2021"
"Sampang";"15";"0";"Juli 2021"
"Sidoarjo";"2695";"0";"Juli 2021"
"Situbondo";"1180";"0";"Juli 2021"
"Sumenep";"0";"0";"Juli 2021"
"Trenggalek";"1929";"0";"Juli 2021"
"Tuban";"0";"0";"Juli 2021"
"Tulungagung";"0";"0";"Juli 2021"
"Kota Batu";"7522";"0";"Juli 2021"
"Kota Blitar";"0";"0";"Juli 2021"
"Kota Kediri";"0";"0";"Juli 2021"
"Kota Madiun";"18080";"2";"Juli 2021"
"Kota Malang";"52";"0";"Juli 2021"
"Kota Mojokerto";"12123";"0";"Juli 2021"
"Kota Pasuruan";"0";"0";"Juli 2021"
"Kota Probolinggo";"5514";"0";"Juli 2021"
"Kota Surabaya";"166918";"34";"Juli 2021"
"Bangkalan";"0";"0";"Agustus 2021"
"Banyuwangi";"0";"46";"Agustus 2021"
"Blitar";"32055";"0";"Agustus 2021"
"Bojonegoro";"0";"0";"Agustus 2021"
"Bondowoso";"0";"0";"Agustus 2021"
"Gresik";"450";"181";"Agustus 2021"
"Jember";"2756";"0";"Agustus 2021"
"Jombang";"0";"1";"Agustus 2021"
"Kediri";"0";"0";"Agustus 2021"
"Lamongan";"0";"2";"Agustus 2021"
"Lumajang";"0";"2";"Agustus 2021"
"Madiun";"0";"0";"Agustus 2021"
"Magetan";"229";"0";"Agustus 2021"
"Malang";"0";"0";"Agustus 2021"
"Mojokerto";"0";"0";"Agustus 2021"
"Nganjuk";"9125";"0";"Agustus 2021"
"Ngawi";"0";"0";"Agustus 2021"
"Pacitan";"0";"0";"Agustus 2021"
"Pamekasan";"0";"0";"Agustus 2021"
"Pasuruan";"11485";"5";"Agustus 2021"
"Ponorogo";"0";"0";"Agustus 2021"
"Probolinggo";"3527";"5";"Agustus 2021"
"Sampang";"1199";"0";"Agustus 2021"
"Sidoarjo";"6118";"199";"Agustus 2021"
"Situbondo";"1250";"0";"Agustus 2021"
"Sumenep";"0";"0";"Agustus 2021"
"Trenggalek";"0";"0";"Agustus 2021"
"Tuban";"0";"8";"Agustus 2021"
"Tulungagung";"0";"4";"Agustus 2021"
"Kota Batu";"3581";"0";"Agustus 2021"
"Kota Blitar";"0";"5";"Agustus 2021"
"Kota Kediri";"0";"7";"Agustus 2021"
"Kota Madiun";"30748";"0";"Agustus 2021"
"Kota Malang";"66";"144";"Agustus 2021"
"Kota Mojokerto";"11789";"294";"Agustus 2021"
"Kota Pasuruan";"59";"0";"Agustus 2021"
"Kota Probolinggo";"1909";"2";"Agustus 2021"
"Kota Surabaya";"172449";"1283";"Agustus 2021"
"Bangkalan";"2198";"0";"September 2021"
"Banyuwangi";"82358";"168";"September 2021"
"Blitar";"52805";"0";"September 2021"
"Bojonegoro";"25300";"2";"September 2021"
"Bondowoso";"7475";"6";"September 2021"
"Gresik";"38457";"186";"September 2021"
"Jember";"17606";"0";"September 2021"
"Jombang";"225";"0";"September 2021"
"Kediri";"0";"0";"September 2021"
"Lamongan";"83076";"3";"September 2021"
"Lumajang";"0";"4";"September 2021"
"Madiun";"0";"0";"September 2021"
"Magetan";"1125";"0";"September 2021"
"Malang";"0";"0";"September 2021"
"Mojokerto";"130";"0";"September 2021"
"Nganjuk";"16966";"0";"September 2021"
"Ngawi";"0";"0";"September 2021"
"Pacitan";"0";"0";"September 2021"
"Pamekasan";"0";"0";"September 2021"
"Pasuruan";"94611";"78";"September 2021"
"Ponorogo";"0";"0";"September 2021"
"Probolinggo";"28656";"0";"September 2021"
"Sampang";"10187";"0";"September 2021"
"Sidoarjo";"12747";"238";"September 2021"
"Situbondo";"1250";"0";"September 2021"
"Sumenep";"0";"0";"September 2021"
"Trenggalek";"6528";"0";"September 2021"
"Tuban";"159275";"13";"September 2021"
"Tulungagung";"0";"0";"September 2021"
"Kota Batu";"8571";"10";"September 2021"
"Kota Blitar";"0";"10";"September 2021"
"Kota Kediri";"802";"5";"September 2021"
"Kota Madiun";"37548";"1";"September 2021"
"Kota Malang";"4425";"150";"September 2021"
"Kota Mojokerto";"12657";"185";"September 2021"
"Kota Pasuruan";"26908";"4";"September 2021"
"Kota Probolinggo";"5618";"14";"September 2021"
"Kota Surabaya";"179787";"1,317";"September 2021"
"Bangkalan";"6171";"0";"Oktober 2021"
"Banyuwangi";"193916";"161";"Oktober 2021"
"Blitar";"128653";"0";"Oktober 2021"
"Bojonegoro";"26817";"2";"Oktober 2021"
"Bondowoso";"19979";"5";"Oktober 2021"
"Gresik";"264404";"174";"Oktober 2021"
"Jember";"38139";"0";"Oktober 2021"
"Jombang";"3424";"0";"Oktober 2021"
"Kediri";"100168";"0";"Oktober 2021"
"Lamongan";"174547";"12";"Oktober 2021"
"Lumajang";"0";"0";"Oktober 2021"
"Madiun";"12931";"0";"Oktober 2021"
"Magetan";"1366";"0";"Oktober 2021"
"Malang";"0";"0";"Oktober 2021"
"Mojokerto";"796";"0";"Oktober 2021"
"Nganjuk";"26584";"0";"Oktober 2021"
"Ngawi";"0";"0";"Oktober 2021"
"Pacitan";"0";"0";"Oktober 2021"
"Pamekasan";"0";"0";"Oktober 2021"
"Pasuruan";"139345";"81";"Oktober 2021"
"Ponorogo";"0";"1";"Oktober 2021"
"Probolinggo";"32965";"0";"Oktober 2021"
"Sampang";"14999";"0";"Oktober 2021"
"Sidoarjo";"17957";"229";"Oktober 2021"
"Situbondo";"1270";"0";"Oktober 2021"
"Sumenep";"12557";"0";"Oktober 2021"
"Trenggalek";"17783";"0";"Oktober 2021"
"Tuban";"387234";"0";"Oktober 2021"
"Tulungagung";"0";"1";"Oktober 2021"
"Kota Batu";"212234";"0";"Oktober 2021"
"Kota Blitar";"28109";"5";"Oktober 2021"
"Kota Kediri";"2197";"30";"Oktober 2021"
"Kota Madiun";"48131";"0";"Oktober 2021"
"Kota Malang";"377391";"234";"Oktober 2021"
"Kota Mojokerto";"161517";"265";"Oktober 2021"
"Kota Pasuruan";"44424";"8";"Oktober 2021"
"Kota Probolinggo";"9576";"8";"Oktober 2021"
"Kota Surabaya";"329871";"1348";"Oktober 2021"
"Bangkalan";"6552";"0";"November 2021"
"Banyuwangi";"137686";"141";"November 2021"
"Blitar";"125912";"0";"November 2021"
"Bojonegoro";"27832";"6";"November 2021"
"Bondowoso";"25364";"2";"November 2021"
"Gresik";"289580";"90";"November 2021"
"Jember";"22689";"0";"November 2021"
"Jombang";"106958";"0";"November 2021"
"Kediri";"185797";"0";"November 2021"
"Lamongan";"184767";"2";"November 2021"
"Lumajang";"0";"0";"November 2021"
"Madiun";"26969";"0";"November 2021"
"Magetan";"125099";"0";"November 2021"
"Malang";"122956";"35";"November 2021"
"Mojokerto";"40056";"0";"November 2021"
"Nganjuk";"23851";"0";"November 2021"
"Ngawi";"39437";"0";"November 2021"
"Pacitan";"53091";"0";"November 2021"
"Pamekasan";"0";"1";"November 2021"
"Pasuruan";"135868";"84";"November 2021"
"Ponorogo";"0";"0";"November 2021"
"Probolinggo";"35171";"0";"November 2021"
"Sampang";"11501";"0";"November 2021"
"Sidoarjo";"21096";"286";"November 2021"
"Situbondo";"5507";"0";"November 2021"
"Sumenep";"12831";"0";"November 2021"
"Trenggalek";"30846";"0";"November 2021"
"Tuban";"500116";"27";"November 2021"
"Tulungagung";"0";"3";"November 2021"
"Kota Batu";"298836";"0";"November 2021"
"Kota Blitar";"60190";"1";"November 2021"
"Kota Kediri";"3565";"30";"November 2021"
"Kota Madiun";"53228";"0";"November 2021"
"Kota Malang";"81357";"163";"November 2021"
"Kota Mojokerto";"112299";"308";"November 2021"
"Kota Pasuruan";"6111";"27";"November 2021"
"Kota Probolinggo";"11030";"23";"November 2021"
"Kota Surabaya";"302553";"1023";"November 2021"
"Bangkalan";"16716";"0";"Desember 2021"
"Banyuwangi";"196661";"119";"Desember 2021"
"Blitar";"229815";"0";"Desember 2021"
"Bojonegoro";"43116";"0";"Desember 2021"
"Bondowoso";"27335";"0";"Desember 2021"
"Gresik";"364149";"103";"Desember 2021"
"Jember";"28011";"0";"Desember 2021"
"Jombang";"120035";"0";"Desember 2021"
"Kediri";"116696";"0";"Desember 2021"
"Lamongan";"232321";"6";"Desember 2021"
"Lumajang";"43432";"0";"Desember 2021"
"Madiun";"35281";"0";"Desember 2021"
"Magetan";"197261";"0";"Desember 2021"
"Malang";"205756";"988";"Desember 2021"
"Mojokerto";"71584";"0";"Desember 2021"
"Nganjuk";"30328";"0";"Desember 2021"
"Ngawi";"63333";"0";"Desember 2021"
"Pacitan";"124055";"0";"Desember 2021"
"Pamekasan";"9897";"1";"Desember 2021"
"Pasuruan";"196326";"207";"Desember 2021"
"Ponorogo";"0";"0";"Desember 2021"
"Probolinggo";"22547";"0";"Desember 2021"
"Sampang";"10835";"0";"Desember 2021"
"Sidoarjo";"36258";"247";"Desember 2021"
"Situbondo";"66645";"0";"Desember 2021"
"Sumenep";"18655";"0";"Desember 2021"
"Trenggalek";"54335";"0";"Desember 2021"
"Tuban";"561751";"18";"Desember 2021"
"Tulungagung";"75294";"1";"Desember 2021"
"Kota Batu";"472117";"0";"Desember 2021"
"Kota Blitar";"68873";"3";"Desember 2021"
"Kota Kediri";"5915";"7";"Desember 2021"
"Kota Madiun";"28783";"0";"Desember 2021"
"Kota Malang";"88270";"198";"Desember 2021"
"Kota Mojokerto";"204423";"262";"Desember 2021"
"Kota Pasuruan";"6937";"0";"Desember 2021"
"Kota Probolinggo";"108917";"30";"Desember 2021"
"Kota Surabaya";"386712";"2,290";"Desember 2021"
